date,XLY.US
2021-02-19,81.1418
2021-02-22,79.4292
2021-02-23,78.9078
2021-02-24,79.7354
2021-02-25,76.7695
2021-02-26,77.0900
2021-03-01,78.8982
2021-03-02,77.9893
2021-03-03,76.1572
2021-03-04,74.5450
2021-03-05,75.0186
2021-03-08,75.1095
2021-03-09,77.9463
2021-03-10,78.3433
2021-03-11,79.5441
2021-03-12,79.7785
2021-03-15,80.8500
2021-03-16,80.0129
2021-03-17,81.1370
2021-03-18,79.1518
2021-03-19,79.6254
2021-03-22,80.1495
2021-03-23,79.3973
2021-03-24,78.2234
2021-03-25,78.9086
2021-03-26,79.5650
2021-03-29,79.1290
2021-03-30,79.9052
2021-03-31,80.5281
2021-04-01,81.1749
2021-04-05,83.0196
2021-04-06,83.3789
2021-04-07,83.1298
2021-04-08,83.5227
2021-04-09,84.3180
2021-04-12,84.8594
2021-04-13,85.7554
2021-04-14,84.9121
2021-04-15,85.5206
2021-04-16,86.1818
2021-04-19,85.2140
2021-04-20,84.1407
2021-04-21,85.2619
2021-04-22,84.3180
2021-04-23,85.1996
2021-04-26,85.5733
2021-04-27,85.4727
2021-04-28,85.3721
2021-04-29,85.3961
2021-04-30,85.7267
2021-05-03,85.3194
2021-05-04,84.4282
2021-05-05,84.1647
2021-05-06,84.3468
2021-05-07,85.1038
2021-05-10,83.5897
2021-05-11,82.6458
2021-05-12,79.8477
2021-05-13,80.4131
2021-05-14,81.8074
2021-05-17,81.6588
2021-05-18,81.0216
2021-05-19,80.3412
2021-05-20,81.1653
2021-05-21,80.7580
2021-05-24,81.5582
2021-05-25,81.8169
2021-05-26,82.5979
2021-05-27,82.9285
2021-05-28,82.8135
2021-06-01,82.6554
2021-06-02,82.2721
2021-06-03,81.2947
2021-06-04,81.9463
2021-06-07,81.9463
2021-06-08,82.6075
2021-06-09,82.1523
2021-06-10,82.5404
2021-06-11,82.9908
2021-06-14,83.0148
2021-06-15,82.5740
2021-06-16,82.6123
2021-06-17,82.9237
2021-06-18,82.4877
2021-06-21,83.1235
2021-06-22,83.9057
2021-06-23,84.5535
2021-06-24,84.8414
2021-06-25,85.3788
2021-06-28,85.3980
2021-06-29,85.6091
2021-06-30,85.6763
2021-07-01,86.1609
2021-07-02,86.9191
2021-07-06,87.0199
2021-07-07,86.9719
2021-07-08,86.7559
2021-07-09,87.5669
2021-07-12,88.1667
2021-07-13,87.1110
2021-07-14,86.9527
2021-07-15,86.4824
2021-07-16,85.4172
2021-07-19,84.4383
2021-07-20,85.9978
2021-07-21,86.7895
2021-07-22,87.1638
2021-07-23,87.9412
2021-07-26,88.5937
2021-07-27,87.6964
2021-07-28,87.4133
2021-07-29,88.3970
2021-07-30,86.5784
2021-08-02,86.8279
2021-08-03,87.4709
2021-08-04,86.6216
2021-08-05,87.4517
2021-08-06,86.8567
2021-08-09,86.7367
2021-08-10,87.0774
2021-08-11,87.3318
2021-08-12,87.3701
