date,XLK.US
2021-06-14,68.9400
2021-06-15,68.5170
2021-06-16,68.1468
2021-06-17,68.9352
2021-06-18,68.3055
2021-06-21,69.0375
2021-06-22,69.6636
2021-06-23,69.5865
2021-06-24,70.0248
2021-06-25,69.9429
2021-06-28,70.6749
2021-06-29,71.1902
2021-06-30,71.1132
2021-07-01,71.2336
2021-07-02,72.1727
2021-07-06,72.4472
2021-07-07,72.8421
2021-07-08,72.1534
2021-07-09,72.8181
2021-07-12,72.8758
2021-07-13,73.1744
2021-07-14,73.7138
2021-07-15,73.1070
2021-07-16,72.3846
2021-07-19,71.3877
2021-07-20,72.4472
2021-07-21,73.1455
2021-07-22,73.6849
2021-07-23,74.4170
2021-07-26,74.3784
2021-07-27,73.6753
2021-07-28,73.5838
2021-07-29,73.9257
2021-07-30,73.8776
2021-08-02,73.6127
2021-08-03,74.0847
2021-08-04,74.2340
2021-08-05,74.6433
2021-08-06,74.5807
2021-08-09,74.3399
2021-08-10,73.8053
2021-08-11,73.8150
2021-08-12,74.2388
